year,week,outbreak_starting_date,reporting_date,state,district,disease_illness_name,status,cases,deaths,unit,note
2023,27,29-06-2023,04-07-2023,Gujarat,Kachchh,Crimean Congo Haemandrhagic Fever (CCHF),Reported in Same Week,1,1,"cases in absolute number, deaths in absolute number",
2023,27,30-06-2023,04-07-2023,Uttar Pradesh,Hamirpur,Fever with Rash,Reported in Same Week,3,0,"cases in absolute number, deaths in absolute number",
2023,26,28-06-2023,30-06-2023,Bihar,Begusarai,Fever with Rash,Reported in Same Week,10,0,"cases in absolute number, deaths in absolute number",
2023,26,28-06-2023,30-06-2023,Bihar,Vaishali,Fever with Rash,Reported in Same Week,11,0,"cases in absolute number, deaths in absolute number",
2023,26,27-06-2023,27-06-2023,Bihar,Purbi Champaran,Fever with Rash,Reported in Same Week,16,0,"cases in absolute number, deaths in absolute number",
2023,26,26-06-2023,26-06-2023,Bihar,Rohtas,Fever with Rash,Reported in Same Week,8,0,"cases in absolute number, deaths in absolute number",
2023,26,30-05-2023,,Bihar,Pashchim Champaran,Fever with Rash,Reported Late,6,0,"cases in absolute number, deaths in absolute number",
2023,26,20-06-2023,27-06-2023,Kerala,Alappuzha,West Nile Fever,Reported in Same Week,1,0,"cases in absolute number, deaths in absolute number",
2023,25,22-06-2023,24-06-2023,Bihar,Buxar,Fever with Rash,Reported in Same Week,8,0,"cases in absolute number, deaths in absolute number",
2023,25,19-06-2023,20-06-2023,Bihar,Pashchim Champaran,Fever with Rash,Reported in Same Week,2,0,"cases in absolute number, deaths in absolute number",
2023,25,19-06-2023,22-06-2023,Chhattisgarh,Balod,Fever,Reported in Same Week,249,0,"cases in absolute number, deaths in absolute number",
2023,25,19-06-2023,19-06-2023,Karnataka,Ballari,Typhoid Fever,Reported in Same Week,41,0,"cases in absolute number, deaths in absolute number",
2023,25,23-06-2023,23-06-2023,Madhya Pradesh,Morena,Fever with Rash,Reported in Same Week,6,0,"cases in absolute number, deaths in absolute number",
2023,25,12-06-2023,21-06-2023,Madhya Pradesh,Katni,Fever with Rash,Reported in Same Week,10,0,"cases in absolute number, deaths in absolute number",
2023,25,04-04-2023,,Madhya Pradesh,Niwari,Fever with Rash,Reported Late,5,0,"cases in absolute number, deaths in absolute number",
2023,24,13-06-2023,14-06-2023,Bihar,Arwal,Fever with Rash,Reported in Same Week,5,0,"cases in absolute number, deaths in absolute number",
2023,23,07-06-2023,07-06-2023,Uttarakhand,Pauri Garhwal,Fever,Reported in Same Week,25,0,"cases in absolute number, deaths in absolute number",
2023,22,02-06-2023,02-06-2023,Jharkhand,East Singhbhum,Fever with Rash,Reported in Same Week,14,0,"cases in absolute number, deaths in absolute number",
2023,22,25-05-2023,,Madhya Pradesh,Ashoknagar,Fever with Rash,Reported Late,6,0,"cases in absolute number, deaths in absolute number",
2023,22,25-05-2023,,Mizoram,Aizawl,Fever,Reported Late,30,0,"cases in absolute number, deaths in absolute number",
2023,21,23-05-2023,24-05-2023,Chhattisgarh,Surguja,Fever,Reported in Same Week,6,0,"cases in absolute number, deaths in absolute number",
2023,21,15-04-2023,,Gujarat,Surat,Fever with Rash,Reported Late,7,0,"cases in absolute number, deaths in absolute number",
2023,21,27-05-2023,27-05-2023,Kerala,Alappuzha,West Nile Fever,Reported in Same Week,1,0,"cases in absolute number, deaths in absolute number",
2023,21,11-05-2023,,Kerala,Kannur,West Nile Fever,Reported Late,1,0,"cases in absolute number, deaths in absolute number",
2023,21,08-05-2023,,Kerala,Kottayam,Suspected Dengue Fever,Reported Late,5,0,"cases in absolute number, deaths in absolute number",
2023,20,18-04-2023,,Chhattisgarh,Surguja,Fever,Reported Late,18,0,"cases in absolute number, deaths in absolute number",
2023,20,13-05-2023,16-05-2023,Madhya Pradesh,Ashoknagar,Fever with Rash,Reported in Same Week,6,0,"cases in absolute number, deaths in absolute number",
2023,18,25-03-2023,,Bihar,Rohtas,Fever with Rash,Reported Late,5,0,"cases in absolute number, deaths in absolute number",
2023,18,27-04-2023,,Jharkhand,Khunti,Fever with Rash,Reported Late,15,0,"cases in absolute number, deaths in absolute number",
2023,16,11-04-2023,17-04-2023,Bihar,Banka,Fever with Rash,Reported in Same Week,17,0,"cases in absolute number, deaths in absolute number",
2023,16,08-04-2023,25-04-2023,Kerala,Thrissur,West Nile Fever,Reported in Same Week,1,0,"cases in absolute number, deaths in absolute number",
2023,16,27-03-2023,,Kerala,Kannur,West Nile Fever,Reported Late,1,0,"cases in absolute number, deaths in absolute number",
2023,16,23-03-2023,25-04-2023,Kerala,Ernakulam,West Nile Fever,Reported in Same Week,1,0,"cases in absolute number, deaths in absolute number",
2023,15,31-03-2023,,Bihar,Aurangabad,Fever with Rash,Reported Late,17,0,"cases in absolute number, deaths in absolute number",
2023,15,11-04-2023,15-04-2023,Odisha,Koraput,Fever with Rash,Reported in Same Week,13,0,"cases in absolute number, deaths in absolute number",
2023,14,05-04-2023,06-04-2023,Odisha,Koraput,Fever with Rash,Reported in Same Week,27,0,"cases in absolute number, deaths in absolute number",
2023,12,22-03-2023,22-03-2023,Jharkhand,Hazaribagh,Fever with Rash,Reported in Same Week,16,0,"cases in absolute number, deaths in absolute number",
2023,12,20-03-2023,21-03-2023,Karnataka,Mandya,Fever with Rash,Reported in Same Week,8,0,"cases in absolute number, deaths in absolute number",
2023,12,18-03-2023,03-04-2023,Odisha,Koraput,Fever with Rash,Reported in Same Week,30,0,"cases in absolute number, deaths in absolute number",
2023,11,25-02-2023,,Bihar,Sheohar,Fever with Rash,Reported Late,15,0,"cases in absolute number, deaths in absolute number",
2023,11,12-02-2023,,Odisha,Rayagada,Fever with Rash,Reported Late,12,0,"cases in absolute number, deaths in absolute number",
2023,10,06-03-2023,06-03-2023,Jharkhand,Chatra,Fever with Rash,Reported in Same Week,13,0,"cases in absolute number, deaths in absolute number",
2023,10,29-12-2022,,West Bengal,Uttar Dinajpur,Fever with Rash,Reported Late,21,0,"cases in absolute number, deaths in absolute number",
2023,8,06-02-2023,,Uttar Pradesh,Pratapgarh,Fever with Rash,Reported Late,6,0,"cases in absolute number, deaths in absolute number",
2023,8,06-02-2023,,Uttar Pradesh,Pratapgarh,Fever with Rash,Reported Late,5,0,"cases in absolute number, deaths in absolute number",
2023,7,28-02-2023,01-03-2023,Chhattisgarh,Durg,Fever with Rash,Reported in Same Week,31,0,"cases in absolute number, deaths in absolute number",
2023,3,20-12-2022,,Jharkhand,Lohardaga,Fever with Rash,Reported Late,13,0,"cases in absolute number, deaths in absolute number",
2023,3,24-02-2023,01-03-2023,Maharashtra,Ahmednagar,Fever,Reported in Same Week,120,0,"cases in absolute number, deaths in absolute number",
2022,52,26-12-2022,26-12-2022,Karnataka,Tumakuru,Fever and Upper Respiratandy Tract Infection (URTI),Reported in Same Week,25,0,"cases in absolute number, deaths in absolute number",
2022,52,24-12-2022,30-12-2022,Karnataka,Chikkamagaluru,Fever,Reported in Same Week,15,0,"cases in absolute number, deaths in absolute number",
2022,52,10-12-2022,22-12-2022,Karnataka,Tumakuru,Fever and Upper Respiratandy Tract Infection (URTI),Reported in Same Week,16,0,"cases in absolute number, deaths in absolute number",
2022,51,10-12-2022,22-12-2022,Karnataka,Tumakuru,Fever and Upper Respiratandy Tract Infection (URTI),Reported in Same Week,16,0,"cases in absolute number, deaths in absolute number",
2022,50,12-12-2022,16-12-2022,Karnataka,Shivamogga,Fever with Rash,Reported in Same Week,12,0,"cases in absolute number, deaths in absolute number",
2022,49,05-12-2022,09-12-2022,Karnataka,Mandya,Fever,Reported in Same Week,36,0,"cases in absolute number, deaths in absolute number",
2022,49,30-11-2022,,Maharashtra,Latur,Fever,Reported Late,19,0,"cases in absolute number, deaths in absolute number",
2022,49,30-11-2022,07-12-2022,Tamil Nadu,Virudhunagar,Fever,Reported in Same Week,12,0,"cases in absolute number, deaths in absolute number",
2022,49,12-10-2022,,Uttar Pradesh,Kannauj,Fever with Rash,Reported Late,11,0,"cases in absolute number, deaths in absolute number",
2022,48,23-11-2022,30-11-2022,Madhya Pradesh,Shahdol,Fever with Rash,Reported in Same Week,15,0,"cases in absolute number, deaths in absolute number",
2022,47,22-10-2022,,Gujarat,Bhavnagar,Crimean Congo Haemandrhagic Fever (CCHF),Reported Late,1,0,"cases in absolute number, deaths in absolute number",
2022,47,01-10-2022,,Gujarat,Bhavnagar,Crimean Congo Haemandrhagic Fever (CCHF),Reported Late,1,0,"cases in absolute number, deaths in absolute number",
2022,46,29-10-2022,,Jharkhand,Giridih,Fever with Rash,Reported Late,30,0,"cases in absolute number, deaths in absolute number",
2022,46,26-10-2022,,Jharkhand,Giridih,Fever with Rash,Reported Late,20,0,"cases in absolute number, deaths in absolute number",
2022,42,15-10-2022,17-10-2022,Jharkhand,Lohardaga,Fever,Reported in Same Week,45,0,"cases in absolute number, deaths in absolute number",
2022,41,15-10-2022,15-10-2022,Jharkhand,Khunti,Fever with Rash,Reported in Same Week,3,0,"cases in absolute number, deaths in absolute number",
2022,38,23-09-2022,23-09-2022,Madhya Pradesh,Mandla,Fever with Rash,Reported in Same Week,5,0,"cases in absolute number, deaths in absolute number",
2022,38,23-09-2022,23-09-2022,Uttar Pradesh,Hardoi,Fever,Reported in Same Week,31,0,"cases in absolute number, deaths in absolute number",
2022,37,08-09-2022,,Karnataka,Dakshina Kannada,Fever with Rash (Enterovirus),Reported Late,11,0,"cases in absolute number, deaths in absolute number",
2022,35,30-08-2022,30-08-2022,Uttarakhand,Nainital,Fever with Rash,Reported in Same Week,10,0,"cases in absolute number, deaths in absolute number",
2022,35,29-08-2022,31-08-2022,Uttarakhand,Udham Singh Nagar,Fever with Rash,Reported in Same Week,4,0,"cases in absolute number, deaths in absolute number",
2022,35,25-08-2022,,Uttarakhand,Pauri Garhwal,Seasonal Influenza,Reported Late,110,0,"cases in absolute number, deaths in absolute number",
2022,34,20-08-2022,26-08-2022,Madhya Pradesh,Rajgarh,Swine Flu (H1N1),Reported in Same Week,1,1,"cases in absolute number, deaths in absolute number",
2022,29,19-07-2022,19-07-2022,Madhya Pradesh,Sagar,Fever with Rash,Reported in Same Week,5,0,"cases in absolute number, deaths in absolute number",
2022,28,07-12-2022,07-12-2022,Jharkhand,Latehar,Fever with Rash,Reported in Same Week,15,0,"cases in absolute number, deaths in absolute number",
2022,27,07-07-2022,07-07-2022,Jharkhand,West Singhbhum,Fever with Rash,Reported in Same Week,5,0,"cases in absolute number, deaths in absolute number",
2022,25,16-05-2022,,Karnataka,Dakshina Kannada,Fever with Rash,Reported Late,32,0,"cases in absolute number, deaths in absolute number",
2022,24,17-06-2022,17-06-2022,Jammu and Kashmir,Jammu,Fever with Rash,Reported in Same Week,8,0,"cases in absolute number, deaths in absolute number",
2022,24,16-06-2022,16-06-2022,Jharkhand,West Singhbhum,Fever with Rash,Reported in Same Week,5,0,"cases in absolute number, deaths in absolute number",
2022,23,06-03-2022,06-08-2022,Jharkhand,Ranchi,Fever with Rash,Reported in Same Week,1,0,"cases in absolute number, deaths in absolute number",
2022,23,06-07-2022,06-08-2022,Nagaland,Peren,Fever with Rash,Reported in Same Week,4,0,"cases in absolute number, deaths in absolute number",
2022,23,06-06-2022,06-07-2022,Nagaland,Mon,Fever with Rash,Reported in Same Week,26,0,"cases in absolute number, deaths in absolute number",
2022,21,19-04-2022,,Kerala,Thrissur,West Nile Fever,Reported Late,1,0,"cases in absolute number, deaths in absolute number",
2022,21,05-04-2022,,Madhya Pradesh,Chhindwara,Fever with Rash,Reported Late,13,0,"cases in absolute number, deaths in absolute number",
2022,21,26-05-2022,29-05-2022,Uttarakhand,Almora,Fever with Rash,Reported in Same Week,11,0,"cases in absolute number, deaths in absolute number",
2022,20,16-05-2022,24-05-2022,Kerala,Ernakulam,Fever with Rash,Reported in Same Week,13,0,"cases in absolute number, deaths in absolute number",
2022,20,29-04-2022,,Madhya Pradesh,Chhatarpur,Fever with Rash,Reported Late,3,0,"cases in absolute number, deaths in absolute number",
2022,19,05-10-2022,05-12-2022,Haryana,Palwal,Fever with Rash,Reported in Same Week,7,0,"cases in absolute number, deaths in absolute number",
2022,19,28-04-2022,,Jammu and Kashmir,Kupwara,Influenza A,Reported Late,10,0,"cases in absolute number, deaths in absolute number",
2022,17,21-04-2022,25-04-2022,Gujarat,Bhavnagar,Crimean Congo Haemandrhagic Fever (CCHF),Reported in Same Week,1,1,"cases in absolute number, deaths in absolute number",
2022,16,20-04-2022,22-04-2022,Jharkhand,Godda,Fever with Rash,Reported in Same Week,20,0,"cases in absolute number, deaths in absolute number",
2022,16,05-04-2022,,Meghalaya,East Khasi Hills,Influenza A,Reported Late,129,0,"cases in absolute number, deaths in absolute number",
2022,16,18-04-2022,25-04-2022,Tamil Nadu,Ariyalur,Fever with Rash,Reported in Same Week,9,0,"cases in absolute number, deaths in absolute number",
